Q_ID,Total_S,Final_Score,Reliable,Framework
q001,112.414,7.0,True,LangGraph 8B
q004,94.845,3.0,True,LangGraph 8B
q006,112.96,1.8,True,LangGraph 8B
q007,114.429,2.6,True,LangGraph 8B
q008,126.715,5.5,True,LangGraph 8B
q009,150.532,2.7,True,LangGraph 8B
q011,91.541,2.2,True,LangGraph 8B
q013,96.335,1.5,True,LangGraph 8B
q014,120.949,2.0,True,LangGraph 8B
q015,89.449,1.8,True,LangGraph 8B
q016,99.271,1.9,True,LangGraph 8B
q017,97.575,4.2,True,LangGraph 8B
q018,99.109,1.0,True,LangGraph 8B
q019,90.004,1.1,True,LangGraph 8B
q020,82.179,6.3,True,LangGraph 8B
q024,85.978,7.4,True,LangGraph 8B
q025,84.226,5.2,True,LangGraph 8B
q026,85.189,4.4,True,LangGraph 8B
q028,93.362,6.2,True,LangGraph 8B
q030,112.568,2.8,True,LangGraph 8B
q032,79.51,2.6,True,LangGraph 8B
q033,88.269,4.4,True,LangGraph 8B
q034,96.23,4.9,True,LangGraph 8B
q035,96.66,8.2,True,LangGraph 8B
q036,93.492,6.7,True,LangGraph 8B
q037,106.527,4.2,True,LangGraph 8B
q038,83.606,4.0,True,LangGraph 8B
q040,92.302,5.9,True,LangGraph 8B
q041,106.322,1.8,True,LangGraph 8B
q042,87.956,5.8,True,LangGraph 8B
q043,90.486,2.2,True,LangGraph 8B
q044,77.516,4.8,True,LangGraph 8B
q045,96.318,3.7,True,LangGraph 8B
q047,120.076,7.2,True,LangGraph 8B
q048,126.744,4.3,True,LangGraph 8B
q049,100.339,6.3,True,LangGraph 8B
q050,111.081,4.8,True,LangGraph 8B
q003,196.15,5.8,True,AutoGen 8B
q004,189.33,3.8,True,AutoGen 8B
q005,155.7,6.1,True,AutoGen 8B
q006,110.61,7.1,True,AutoGen 8B
q007,131.12,6.8,True,AutoGen 8B
q008,144.8,6.3,True,AutoGen 8B
q010,155.6,6.7,True,AutoGen 8B
q012,189.28,6.1,True,AutoGen 8B
q013,158.6,4.3,True,AutoGen 8B
q014,158.05,3.0,True,AutoGen 8B
q015,781.27,5.9,True,AutoGen 8B
q016,322.56,6.5,True,AutoGen 8B
q017,135.28,2.7,True,AutoGen 8B
q018,128.58,6.8,True,AutoGen 8B
q020,119.41,6.2,True,AutoGen 8B
q021,134.66,7.7,True,AutoGen 8B
q022,116.16,4.2,True,AutoGen 8B
q023,110.79,1.8,True,AutoGen 8B
q024,166.62,4.0,True,AutoGen 8B
q026,132.03,7.4,True,AutoGen 8B
q027,162.26,7.2,True,AutoGen 8B
q028,117.78,6.5,True,AutoGen 8B
q029,133.94,3.8,True,AutoGen 8B
q031,139.88,6.3,True,AutoGen 8B
q032,175.28,4.0,True,AutoGen 8B
q033,102.33,7.0,True,AutoGen 8B
q034,178.52,5.2,True,AutoGen 8B
q035,796.46,3.9,True,AutoGen 8B
q036,174.98,4.3,True,AutoGen 8B
q037,145.32,2.7,True,AutoGen 8B
q038,155.74,7.0,True,AutoGen 8B
q039,176.02,6.5,True,AutoGen 8B
q040,248.64,7.7,True,AutoGen 8B
q042,129.19,5.3,True,AutoGen 8B
q043,140.73,7.2,True,AutoGen 8B
q044,158.27,8.4,True,AutoGen 8B
q045,187.29,2.5,True,AutoGen 8B
q046,164.6,2.5,True,AutoGen 8B
q047,106.26,7.2,True,AutoGen 8B
q049,249.21,3.0,True,AutoGen 8B
q050,159.51,2.6,True,AutoGen 8B
