ID,Rep,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
1,2,8B,heterogeneo,PNM,116.142,16.819,42.128,36.837,20.358,35336,1860,52.88,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,2,8B,heterogeneo,DLB,108.055,3.270,39.077,39.058,26.648,32652,1985,52.49,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,2,8B,heterogeneo,PNM,111.474,1.451,40.896,44.561,24.565,33654,2256,54.35,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,2,8B,heterogeneo,PNM,134.452,1.339,49.073,56.136,27.904,39661,2802,53.31,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,2,8B,heterogeneo,PNM,115.744,1.358,48.581,42.797,23.014,39610,2142,52.41,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,2,8B,heterogeneo,PNM,128.281,1.377,56.790,45.707,24.408,45342,2314,52.88,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,2,8B,heterogeneo,DLB,137.498,1.370,56.746,51.667,27.714,45371,2599,52.28,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,2,8B,heterogeneo,PNM,109.644,1.369,41.082,45.373,21.820,34174,2277,52.24,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,2,8B,heterogeneo,PNM,153.632,1.367,62.560,59.902,29.801,48385,2987,53.04,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,2,8B,heterogeneo,DLB,118.696,1.347,45.291,47.288,24.773,37553,2358,52.11,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,2,8B,heterogeneo,PNM,131.650,1.349,54.616,50.247,25.438,43875,2517,52.19,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,2,8B,heterogeneo,DLB,108.238,1.350,51.204,35.692,19.992,41068,1814,53.70,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,2,8B,heterogeneo,PNM,129.302,1.371,46.466,53.752,27.708,38347,2689,52.32,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,2,8B,heterogeneo,PNM,118.853,1.359,45.182,47.382,24.929,37495,2374,52.47,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,2,8B,heterogeneo,PNM,119.740,1.350,45.494,48.535,24.360,37033,2453,53.26,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,2,8B,heterogeneo,DLB,122.290,1.347,44.957,50.358,25.627,37198,2511,52.13,What antenna design considerations optimize ground station visibility during short service windows i
17,2,8B,heterogeneo,DLB,161.068,1.372,59.455,67.216,33.023,46937,3391,52.87,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,2,8B,heterogeneo,PNM,114.324,1.474,44.340,44.172,24.339,36151,2161,53.22,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,2,8B,heterogeneo,PNM,110.499,1.366,44.916,42.172,22.047,36391,2148,53.38,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,2,8B,heterogeneo,DLB,114.267,1.356,42.499,46.958,23.454,34905,2367,53.92,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,2,8B,heterogeneo,PNM,108.531,1.344,41.532,42.589,23.067,34108,2160,53.91,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,2,8B,heterogeneo,DLB,160.543,1.349,52.625,71.040,35.533,42538,3581,52.53,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,2,8B,heterogeneo,PNM,109.086,1.387,42.076,42.984,22.640,34889,2172,52.38,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,2,8B,heterogeneo,DLB,115.868,1.368,44.350,46.138,24.012,36664,2308,52.47,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,2,8B,heterogeneo,PNM,139.608,1.346,48.808,58.601,30.856,39585,2914,51.94,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,2,8B,heterogeneo,PNM,111.982,1.754,47.845,38.386,23.993,38644,1888,52.10,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,2,8B,heterogeneo,PNM,138.512,1.672,49.923,57.123,29.793,40793,2823,51.25,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,2,8B,heterogeneo,DLB,101.621,1.558,46.316,35.569,18.176,37638,1732,51.20,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,2,8B,heterogeneo,DLB,120.920,1.369,43.486,52.160,23.905,35938,2565,50.95,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
