ID,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
q001_debateC,2B,heterogeneo,DLB or PNM,111.401,0.0,0.0,0.0,40178,4476,40.18,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in Ka-band satellite links?
q002_debateC,2B,heterogeneo,DLB or PNM,109.771,0.0,0.0,0.0,36188,4998,45.53,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink frequency planning?
q003_debateC,2B,heterogeneo,DLB or PNM,115.131,0.0,0.0,0.0,35416,5653,49.1,What trade-offs exist between the filter's compact size and integration with phased array antennas for satellite coverage optimization?
q004_debateC,2B,heterogeneo,Unknown,140.485,0.0,0.0,0.0,44056,7354,52.35,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver frontends?
q005_debateC,2B,heterogeneo,DLB or PNM,108.525,0.0,0.0,0.0,43294,4486,41.34,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload configurations?
q006_debateC,2B,heterogeneo,DLB or PNM,115.382,0.0,0.0,0.0,50897,4226,36.63,How does the hierarchical classification framework impact satellite link budget margins when prioritizing QoS-sensitive traffic?
q007_debateC,2B,heterogeneo,Unknown,127.478,0.0,0.0,0.0,51606,5640,44.24,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latency-sensitive traffic classes?
q008_debateC,2B,heterogeneo,Unknown,105.709,0.0,0.0,0.0,34113,4622,43.72,How does antenna design influence the accuracy of encrypted traffic classification systems in heterogeneous satellite networks?
q009_debateC,2B,heterogeneo,Unknown,144.462,0.0,0.0,0.0,56693,6987,48.37,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands from ML traffic classification?
q010_debateC,2B,heterogeneo,DLB or PNM,120.518,0.0,0.0,0.0,39115,5801,48.13,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic in multi-beam satellite systems?
q011_debateC,2B,heterogeneo,DLB or PNM,110.127,0.0,0.0,0.0,48013,4187,38.02,Does the proposed ML framework's feature extraction for encrypted flows require additional power or bandwidth margins in link budgets?
q012_debateC,2B,heterogeneo,PNM,113.5,0.0,0.0,0.0,49601,4418,38.93,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classification for satellite QoS management?
q013_debateC,2B,heterogeneo,PNM,125.87,0.0,0.0,0.0,40021,5706,45.33,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range and noise performance trade-offs in different satellite orbital configurations?
q014_debateC,2B,heterogeneo,DLB or PNM,111.442,0.0,0.0,0.0,39755,5009,44.95,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and portability for CMOS-based ground terminals?
q015_debateC,2B,heterogeneo,DLB or PNM,126.137,0.0,0.0,0.0,40554,6179,48.99,How do distributed satellite constellations impact orbital configuration trade-offs between coverage and inter-satellite interference mitigation?
q016_debateC,2B,heterogeneo,Unknown,122.227,0.0,0.0,0.0,38811,6130,50.15,What antenna design considerations optimize ground station visibility during short service windows in LEO constellations?
q017_debateC,2B,heterogeneo,PNM,109.299,0.0,0.0,0.0,50000,4302,39.36,How are link budgets affected when prioritizing high-revenue services versus navigation safety margins in dynamic scheduling?
