ID,Rep,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
1,3,2B,heterogeneo,PNM,82.990,1.736,15.071,45.403,20.777,41145,4569,95.62,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,3,2B,heterogeneo,DLB,80.628,1.715,11.184,43.325,24.407,33139,4467,98.30,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,3,2B,heterogeneo,DLB,71.040,1.757,10.660,37.819,20.803,30882,3963,99.59,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,3,2B,heterogeneo,DLB,88.436,1.742,13.152,46.668,26.870,37700,4704,97.42,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,3,2B,heterogeneo,PNM,72.559,1.801,12.158,36.530,22.069,35333,3685,97.41,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,3,2B,heterogeneo,DLB,76.212,1.774,15.072,37.958,21.409,42590,3758,96.60,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,3,2B,heterogeneo,DLB,94.326,1.789,16.139,49.864,26.532,44071,5007,96.93,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,3,2B,heterogeneo,PNM,76.325,1.732,9.911,37.498,27.184,29455,3904,101.05,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,3,2B,heterogeneo,PNM,88.003,1.751,16.575,45.521,24.157,45572,4660,97.10,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,3,2B,heterogeneo,DLB,94.382,1.738,13.676,54.633,24.333,38620,5612,96.80,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,3,2B,heterogeneo,DLB,77.956,1.728,14.752,40.599,20.879,41343,4159,97.59,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,3,2B,heterogeneo,PNM,68.412,1.814,13.613,35.299,17.688,38556,3742,99.43,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,3,2B,heterogeneo,PNM,74.837,1.739,11.829,42.664,18.602,34377,4537,99.03,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,3,2B,heterogeneo,PNM,93.400,1.724,15.790,55.779,20.109,43027,5780,95.89,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,3,2B,heterogeneo,DLB,81.228,1.736,12.002,43.478,24.014,34377,4598,99.13,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,3,2B,heterogeneo,DLB,85.581,1.731,11.942,46.999,24.912,33359,4978,99.34,What antenna design considerations optimize ground station visibility during short service windows i
17,3,2B,heterogeneo,DLB,71.540,1.761,13.298,35.695,20.786,38265,3727,99.02,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,3,2B,heterogeneo,DLB,88.168,1.712,14.451,50.398,21.603,40302,5207,95.97,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,3,2B,heterogeneo,PNM,71.466,1.730,12.046,35.164,22.525,35088,3633,99.60,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,3,2B,heterogeneo,PNM,76.796,1.786,11.007,42.402,21.601,32365,4406,98.31,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,3,2B,heterogeneo,PNM,77.238,1.762,11.965,40.806,22.706,34141,4215,98.95,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,3,2B,heterogeneo,PNM,96.047,1.721,14.649,58.081,21.593,40474,6077,97.42,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,3,2B,heterogeneo,Error,55.103,1.586,9.479,35.637,8.403,28647,3903,95.28,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,3,2B,heterogeneo,DLB,82.279,1.724,12.916,44.942,22.694,36801,4759,99.00,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,3,2B,heterogeneo,PNM,86.486,1.731,12.294,48.306,24.158,34741,5051,98.70,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,3,2B,heterogeneo,DLB,80.176,1.748,13.706,42.331,22.389,39209,4376,98.33,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,3,2B,heterogeneo,DLB,86.310,1.783,13.719,44.064,26.743,39193,4498,97.67,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,3,2B,heterogeneo,DLB,65.582,1.721,12.195,32.307,19.362,35549,3348,99.43,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,3,2B,heterogeneo,DLB,75.350,1.755,11.672,39.563,22.363,33856,3967,97.69,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,3,2B,heterogeneo,PNM,69.062,1.755,11.541,35.012,20.750,33254,3536,98.03,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,3,2B,heterogeneo,DLB,71.314,1.705,10.783,34.712,24.114,31207,3544,99.30,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,3,2B,heterogeneo,PNM,84.073,1.740,12.482,47.705,22.143,35108,5072,99.08,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,3,2B,heterogeneo,DLB,68.503,1.733,11.656,36.294,18.818,33689,3657,96.92,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,3,2B,heterogeneo,PNM,69.724,1.762,12.178,34.868,20.920,35037,3607,98.81,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,3,2B,heterogeneo,DLB,75.707,1.773,10.489,40.344,23.100,30609,4300,99.64,How can frequency planning address interference between satellite uplinks and broadband power line c
36,3,2B,heterogeneo,DLB,83.835,1.741,16.124,45.767,20.202,44958,4726,96.96,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,3,2B,heterogeneo,Error,57.403,1.609,9.814,36.665,9.317,29529,4113,95.94,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,3,2B,heterogeneo,DLB,79.616,1.792,11.430,45.625,20.773,32708,4794,98.46,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,3,2B,heterogeneo,PNM,80.122,1.762,14.886,40.501,22.976,42328,4157,98.09,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,3,2B,heterogeneo,PNM,85.116,1.739,12.343,46.101,24.932,35650,4742,97.64,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,3,2B,heterogeneo,DLB,81.896,1.773,12.183,42.331,25.608,35249,4280,97.95,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,3,2B,heterogeneo,PNM,91.677,1.732,12.432,53.806,23.705,35766,5627,97.93,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,3,2B,heterogeneo,DLB,88.179,1.739,13.088,47.815,25.539,36907,4913,97.44,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,3,2B,heterogeneo,PNM,83.932,1.775,11.868,45.782,24.509,33616,4848,99.35,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,3,2B,heterogeneo,DLB,81.661,1.770,11.481,45.670,22.739,33280,4767,99.22,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
46,3,2B,heterogeneo,DLB,93.545,1.740,11.369,53.386,27.051,32154,5669,99.31,What beam management strategies are needed to mitigate efficiency fluctuations (>3 dB gain variance)
47,3,2B,heterogeneo,PNM,87.456,1.816,12.943,45.733,26.965,37482,4786,99.20,How can satellite link budgets be optimized for high throughput and low latency in global aeronautic
48,3,2B,heterogeneo,DLB,78.586,1.722,11.091,45.973,19.796,30828,4921,98.83,What antenna designs balance aerodynamic constraints with MIMO requirements for high-speed aircraft 
49,3,2B,heterogeneo,DLB,97.437,1.977,14.257,54.700,26.501,39225,5576,101.45,How does L-DACS integration impact spectrum sharing between A2G and satellite links in congested air
