Q_ID,Total_Sec,Judge_Score,Judge_Hallucination,Framework
q001,155.63,8.5,Low,AutoGen
q001,112.414,8.2,Low,LangGraph 8B (heter)
q002,131.57,7.5,Medium,AutoGen
q002,93.462,9.0,Low,LangGraph 8B (heter)
q003,196.15,9.0,Low,AutoGen
q003,109.346,8.5,Low,LangGraph 8B (heter)
q004,189.33,4.5,Low,AutoGen
q004,94.845,5.2,High,LangGraph 8B (heter)
q005,155.7,8.5,Low,AutoGen
q005,100.571,5.5,Medium,LangGraph 8B (heter)
q006,110.61,8.7,Low,AutoGen
q006,112.96,2.8,Medium,LangGraph 8B (heter)
q007,131.12,9.0,Low,AutoGen
q007,114.429,3.2,Low,LangGraph 8B (heter)
q008,144.8,9.0,Low,AutoGen
q008,126.715,7.0,Medium,LangGraph 8B (heter)
q009,125.92,4.2,Medium,AutoGen
q009,150.532,7.0,Low,LangGraph 8B (heter)
q010,155.6,8.5,Low,AutoGen
q010,94.408,3.5,Medium,LangGraph 8B (heter)
q011,111.43,2.0,Medium,AutoGen
q011,91.541,2.0,High,LangGraph 8B (heter)
q012,189.28,6.8,Low,AutoGen
q012,122.029,7.2,Medium,LangGraph 8B (heter)
q013,158.6,5.5,Low,AutoGen
q013,96.335,2.5,High,LangGraph 8B (heter)
q014,158.05,2.5,High,AutoGen
q014,120.949,7.5,Medium,LangGraph 8B (heter)
q015,781.27,6.5,Low,AutoGen
q015,89.449,3.0,High,LangGraph 8B (heter)
q016,322.56,8.5,Low,AutoGen
q016,99.271,2.5,Medium,LangGraph 8B (heter)
q017,135.28,3.5,High,AutoGen
q017,97.575,5.5,Medium,LangGraph 8B (heter)
q018,128.58,8.5,Low,AutoGen
q018,99.109,2.0,High,LangGraph 8B (heter)
q020,119.41,8.5,Low,AutoGen
q020,82.179,7.8,Low,LangGraph 8B (heter)
q021,134.66,8.5,Low,AutoGen
q021,118.206,8.8,Low,LangGraph 8B (heter)
q022,116.16,4.5,Low,AutoGen
q022,76.809,7.8,Low,LangGraph 8B (heter)
q023,110.79,2.0,High,AutoGen
q023,93.48,2.0,High,LangGraph 8B (heter)
q024,166.62,5.5,Medium,AutoGen
q024,85.978,8.5,Low,LangGraph 8B (heter)
q025,164.01,7.8,Low,AutoGen
q025,84.226,4.5,Medium,LangGraph 8B (heter)
q026,132.03,8.5,Low,AutoGen
q026,85.189,4.7,Medium,LangGraph 8B (heter)
q027,162.26,8.0,Low,AutoGen
q027,103.985,5.8,Medium,LangGraph 8B (heter)
q028,117.78,8.5,Low,AutoGen
q028,93.362,7.5,Low,LangGraph 8B (heter)
q029,133.94,5.5,Medium,AutoGen
q029,91.386,5.8,Medium,LangGraph 8B (heter)
q030,141.39,5.5,Low,AutoGen
q030,112.568,4.2,Low,LangGraph 8B (heter)
q031,139.88,7.8,Low,AutoGen
q031,92.362,8.7,Low,LangGraph 8B (heter)
q032,175.28,3.8,Low,AutoGen
q032,79.51,4.5,Low,LangGraph 8B (heter)
q033,102.33,8.5,Low,AutoGen
q033,88.269,8.7,Medium,LangGraph 8B (heter)
q034,178.52,4.8,Medium,AutoGen
q034,96.23,5.5,Medium,LangGraph 8B (heter)
q035,796.46,5.0,Low,AutoGen
q035,96.66,8.5,Low,LangGraph 8B (heter)
q036,174.98,5.5,Low,AutoGen
q036,93.492,8.5,Low,LangGraph 8B (heter)
q037,145.32,4.5,Medium,AutoGen
q037,106.527,5.8,Medium,LangGraph 8B (heter)
q038,155.74,8.5,Low,AutoGen
q038,83.606,5.5,Medium,LangGraph 8B (heter)
q039,176.02,8.5,Low,AutoGen
q039,87.909,6.5,Medium,LangGraph 8B (heter)
q040,248.64,8.2,Low,AutoGen
q040,92.302,6.8,Medium,LangGraph 8B (heter)
q042,129.19,8.2,Low,AutoGen
q042,87.956,7.5,Low,LangGraph 8B (heter)
q043,140.73,8.0,Low,AutoGen
q043,90.486,2.0,High,LangGraph 8B (heter)
q044,158.27,8.5,Low,AutoGen
q044,77.516,5.5,Low,LangGraph 8B (heter)
q045,187.29,3.2,Medium,AutoGen
q045,96.318,5.2,Medium,LangGraph 8B (heter)
q046,164.6,4.2,Medium,AutoGen
q046,92.042,7.8,Low,LangGraph 8B (heter)
q047,106.26,8.5,Low,AutoGen
q047,120.076,8.5,Low,LangGraph 8B (heter)
q048,151.8,9.0,Low,AutoGen
q048,126.744,5.5,Low,LangGraph 8B (heter)
q049,249.21,4.5,Medium,AutoGen
q049,100.339,7.5,Low,LangGraph 8B (heter)
q050,159.51,5.5,Low,AutoGen
q050,111.081,7.8,Low,LangGraph 8B (heter)
