ID,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
q001_debateC,8B,heterogeneo,DLB and PNM,241.67,0.0,0.0,0.0,64748,6398,26.47,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in Ka-band satellite links?
q002_debateC,8B,heterogeneo,Both DLB and PNM,237.673,0.0,0.0,0.0,59071,6927,29.15,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink frequency planning?
q003_debateC,8B,heterogeneo,Both DLB and PNM,213.36,0.0,0.0,0.0,55376,5951,27.89,What trade-offs exist between the filter's compact size and integration with phased array antennas for satellite coverage optimization?
q004_debateC,8B,heterogeneo,DLB and PNM,270.331,0.0,0.0,0.0,61509,7803,28.86,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver frontends?
q005_debateC,8B,heterogeneo,DLB,239.447,0.0,0.0,0.0,63627,6606,27.59,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload configurations?
q006_debateC,8B,heterogeneo,PNM,264.768,0.0,0.0,0.0,84709,7034,26.57,How does the hierarchical classification framework impact satellite link budget margins when prioritizing QoS-sensitive traffic?
q007_debateC,8B,heterogeneo,DLB and PNM,252.053,0.0,0.0,0.0,70846,6544,25.96,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latency-sensitive traffic classes?
q008_debateC,8B,heterogeneo,DLB or PNM,225.36,0.0,0.0,0.0,56425,6466,28.69,How does antenna design influence the accuracy of encrypted traffic classification systems in heterogeneous satellite networks?
q009_debateC,8B,heterogeneo,DLB or PNM,247.214,0.0,0.0,0.0,74538,6288,25.44,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands from ML traffic classification?
q010_debateC,8B,heterogeneo,DLB and PNM,212.754,0.0,0.0,0.0,56352,5741,26.98,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic in multi-beam satellite systems?
q011_debateC,8B,heterogeneo,DLB,251.598,0.0,0.0,0.0,91910,6719,26.71,Does the proposed ML framework's feature extraction for encrypted flows require additional power or bandwidth margins in link budgets?
q012_debateC,8B,heterogeneo,DLB or PNM,299.747,0.0,0.0,0.0,110268,8189,27.32,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classification for satellite QoS management?
