ID,Rep,Size,Mode,Model,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,TPS,Topic
1,2,2B,single,gemma2:2b,18.656,3.782,0.895,2.720,11.260,2272,145,53.32,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,2,2B,single,gemma2:2b,12.537,0.145,0.802,2.320,9.270,2106,134,57.76,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,2,2B,single,gemma2:2b,5.088,0.149,1.004,0.862,3.073,2171,46,53.39,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,2,2B,single,gemma2:2b,10.873,0.152,0.920,2.088,7.713,2348,114,54.61,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,2,2B,single,gemma2:2b,4.666,0.141,1.097,0.698,2.730,2712,39,55.85,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,2,2B,single,gemma2:2b,12.017,0.151,1.200,1.651,9.015,2956,117,70.88,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,2,2B,single,gemma2:2b,12.535,0.147,1.321,2.308,8.758,2963,128,55.46,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,2,2B,single,gemma2:2b,10.669,0.152,0.736,2.120,7.660,1971,115,54.24,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,2,2B,single,gemma2:2b,12.017,0.152,1.332,2.288,8.244,3212,122,53.31,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,2,2B,single,gemma2:2b,11.553,0.146,0.986,2.254,8.167,2155,122,54.12,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,2,2B,single,gemma2:2b,12.464,0.144,1.168,2.472,8.680,2864,131,52.99,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,2,2B,single,gemma2:2b,9.899,0.148,1.240,1.868,6.642,3021,98,52.46,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,2,2B,single,gemma2:2b,12.773,0.142,0.973,2.500,9.158,2238,136,54.41,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,2,2B,single,gemma2:2b,0.000,0.000,0.000,0.000,0.000,0,0,0.00,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,2,2B,single,gemma2:2b,10.213,0.149,0.864,1.952,7.247,2223,107,54.80,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
