ID,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
1,2B,homogeneo,PNM,56.088,5.551,7.108,18.353,22840,1421,83.42,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,2B,homogeneo,PNM,54.323,2.038,7.821,16.223,22710,1608,106.43,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,2B,homogeneo,PNM,56.641,2.091,8.797,15.452,24815,1522,106.66,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,2B,homogeneo,PNM,57.084,2.129,7.958,15.208,22887,1592,109.39,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,2B,homogeneo,PNM,63.559,2.041,10.286,15.649,28600,1716,113.69,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,2B,homogeneo,PNM,63.727,1.904,16.297,14.782,39865,1558,105.71,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,2B,homogeneo,PNM,63.561,1.943,15.738,14.522,39000,1509,106.86,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,2B,homogeneo,PNM,47.706,1.926,6.970,12.928,20503,1403,108.89,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,2B,homogeneo,PNM,58.418,1.934,14.940,13.900,37759,1453,107.24,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,2B,homogeneo,PNM,50.301,1.913,7.708,14.564,22433,1614,111.36,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,2B,homogeneo,PNM,48.513,1.956,7.870,13.554,22648,1449,108.58,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,2B,homogeneo,PNM,49.160,1.946,7.592,14.012,22010,1463,106.85,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,2B,homogeneo,PNM,57.210,1.931,8.533,15.469,24605,1702,111.86,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,2B,homogeneo,PNM,49.790,1.970,8.839,13.978,25133,1552,111.28,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,2B,homogeneo,PNM,52.450,1.899,7.150,17.850,22688,1493,85.61,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,2B,homogeneo,PNM,48.095,1.925,7.132,13.981,20876,1501,108.65,What antenna design considerations optimize ground station visibility during short service windows i
17,2B,homogeneo,PNM,49.664,1.915,7.142,13.850,20781,1507,109.26,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,2B,homogeneo,PNM,44.569,1.944,8.624,13.103,24385,1360,104.53,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,2B,homogeneo,PNM,56.935,1.964,7.705,15.266,22565,1645,110.36,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,2B,homogeneo,PNM,49.255,1.992,7.386,14.025,22036,1563,112.12,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,2B,homogeneo,PNM,51.197,1.937,7.881,14.368,22995,1536,109.56,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,2B,homogeneo,PNM,53.308,1.925,7.531,15.656,22221,1673,107.16,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,2B,homogeneo,PNM,50.686,1.932,7.696,15.413,22633,1630,106.53,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,2B,homogeneo,PNM,51.779,1.923,7.495,14.412,21581,1553,108.96,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,2B,homogeneo,PNM,50.116,1.918,7.452,13.396,21544,1454,110.01,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,2B,homogeneo,PNM,58.271,1.918,8.381,15.756,23753,1675,107.99,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,2B,homogeneo,PNM,59.049,1.912,9.159,15.582,25943,1619,107.58,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,2B,homogeneo,PNM,48.658,1.929,8.230,14.061,23434,1455,103.88,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,2B,homogeneo,PNM,50.921,1.924,8.022,14.635,22851,1549,106.95,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,2B,homogeneo,PNM,53.816,1.995,12.692,13.338,32903,1437,108.46,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,2B,homogeneo,PNM,58.068,1.930,7.605,20.220,24263,1652,84.34,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,2B,homogeneo,PNM,56.682,1.909,7.335,19.130,23310,1575,84.10,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,2B,homogeneo,PNM,57.569,2.024,6.373,18.641,20982,1530,84.43,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,2B,homogeneo,PNM,55.999,1.915,6.802,19.169,22204,1543,83.98,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,2B,homogeneo,PNM,64.781,1.912,6.658,29.305,21661,1462,80.83,How can frequency planning address interference between satellite uplinks and broadband power line c
36,2B,homogeneo,PNM,66.572,1.959,7.633,29.244,24233,1543,80.79,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,2B,homogeneo,PNM,52.710,1.939,7.199,18.857,22816,1456,82.85,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,2B,homogeneo,PNM,54.882,1.883,6.233,19.500,20574,1520,83.72,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,2B,homogeneo,PNM,65.648,2.002,7.484,27.134,24024,1784,81.36,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,2B,homogeneo,PNM,73.457,1.904,7.943,33.154,25332,1602,80.03,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,2B,homogeneo,PNM,52.018,1.994,7.919,17.746,25462,1439,83.81,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,2B,homogeneo,PNM,53.867,1.900,7.440,18.034,23935,1500,84.73,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,2B,homogeneo,PNM,52.297,1.945,7.315,17.826,23670,1472,84.16,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,2B,homogeneo,PNM,51.476,1.992,7.356,18.119,23776,1496,84.13,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,2B,homogeneo,PNM,50.679,1.947,7.372,16.191,23694,1348,84.72,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
46,2B,homogeneo,PNM,61.009,1.941,7.614,20.858,24774,1706,83.57,What beam management strategies are needed to mitigate efficiency fluctuations (>3 dB gain variance)
47,2B,homogeneo,PNM,54.805,1.891,7.398,18.943,23429,1551,84.36,How can satellite link budgets be optimized for high throughput and low latency in global aeronautic
48,2B,homogeneo,PNM,55.685,1.941,6.168,18.387,20297,1494,84.35,What antenna designs balance aerodynamic constraints with MIMO requirements for high-speed aircraft 
49,2B,homogeneo,PNM,61.704,1.976,8.199,21.933,26041,1741,82.95,How does L-DACS integration impact spectrum sharing between A2G and satellite links in congested air
50,2B,homogeneo,PNM,69.143,1.889,7.047,27.470,23089,1806,81.61,What beamforming strategies ensure consistent LOS connectivity for A2A links in dynamically changing
