ID,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
q001_debateC,8B,heterogeneo,DLB or PNM,369.62,0.0,0.0,0.0,174368,9941,26.9,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in Ka-band satellite links?
q002_debateC,8B,heterogeneo,DLB and PNM (both),229.701,0.0,0.0,0.0,69112,6140,26.73,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink frequency planning?
q003_debateC,8B,heterogeneo,DLB (Digital Layer) and PNM (Physical Layer),290.552,0.0,0.0,0.0,215447,7645,26.31,What trade-offs exist between the filter's compact size and integration with phased array antennas for satellite coverage optimization?
q004_debateC,8B,heterogeneo,DLB and PNM,295.53,0.0,0.0,0.0,135546,8362,28.29,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver frontends?
q005_debateC,8B,heterogeneo,DLB,320.244,0.0,0.0,0.0,166635,8322,25.99,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload configurations?
q006_debateC,8B,heterogeneo,DLB or PNM,497.383,0.0,0.0,0.0,305361,11592,23.31,How does the hierarchical classification framework impact satellite link budget margins when prioritizing QoS-sensitive traffic?
q007_debateC,8B,heterogeneo,DLB,730.021,0.0,0.0,0.0,576752,18919,25.92,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latency-sensitive traffic classes?
q008_debateC,8B,heterogeneo,DLB,461.476,0.0,0.0,0.0,257000,14251,30.88,How does antenna design influence the accuracy of encrypted traffic classification systems in heterogeneous satellite networks?
q009_debateC,8B,heterogeneo,DLB or PNM,329.264,0.0,0.0,0.0,143786,6731,20.44,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands from ML traffic classification?
q010_debateC,8B,heterogeneo,DLB and PNM,298.498,0.0,0.0,0.0,76358,8683,29.09,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic in multi-beam satellite systems?
q011_debateC,8B,heterogeneo,DLB,256.477,0.0,0.0,0.0,86896,7104,27.7,Does the proposed ML framework's feature extraction for encrypted flows require additional power or bandwidth margins in link budgets?
q012_debateC,8B,heterogeneo,DLB or PNM,303.298,0.0,0.0,0.0,86923,8813,29.06,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classification for satellite QoS management?
q013_debateC,8B,heterogeneo,DLB,377.851,0.0,0.0,0.0,150815,12025,31.82,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range and noise performance trade-offs in different satellite orbital configurations?
q014_debateC,8B,heterogeneo,DLB and PNM,345.533,0.0,0.0,0.0,174505,10643,30.8,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and portability for CMOS-based ground terminals?
q015_debateC,8B,heterogeneo,DLB and PNM,288.152,0.0,0.0,0.0,137430,8707,30.22,How do distributed satellite constellations impact orbital configuration trade-offs between coverage and inter-satellite interference mitigation?
q016_debateC,8B,heterogeneo,DLB and PNM consensus,218.373,0.0,0.0,0.0,67838,6393,29.28,What antenna design considerations optimize ground station visibility during short service windows in LEO constellations?
q017_debateC,8B,heterogeneo,DLB,349.467,0.0,0.0,0.0,133634,11511,32.94,How are link budgets affected when prioritizing high-revenue services versus navigation safety margins in dynamic scheduling?
q018_debateC,8B,heterogeneo,DLB,266.238,0.0,0.0,0.0,91020,7613,28.59,What frequency planning challenges arise when coordinating multiple ground stations with overlapping satellite visibility windows?
q019_debateC,8B,heterogeneo,Both DLB and PNM insights are crucial,243.772,0.0,0.0,0.0,71274,7110,29.17,How do on-board storage constraints influence payload power allocation between immediate and time-tagged service prioritization?
q020_debateC,8B,heterogeneo,Dynamic Adaptive Beam Switching Strategy,261.151,0.0,0.0,0.0,110734,7839,30.02,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-satellite ground station operations?
q021_debateC,8B,heterogeneo,DLB and PNM,298.945,0.0,0.0,0.0,136738,9190,30.74,How does transponder allocation balance network efficiency against thermal/power constraints during peak service demand periods?
q022_debateC,8B,heterogeneo,DLB,227.373,0.0,0.0,0.0,69520,6662,29.3,What interference mitigation techniques are viable for overlapping service transmissions across geographically dispersed ground stations?
q023_debateC,8B,heterogeneo,PNM,283.142,0.0,0.0,0.0,82891,8584,30.32,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in Ka-band satellite architectures?
q024_debateC,8B,heterogeneo,Hybrid approach,258.773,0.0,0.0,0.0,79061,7675,29.66,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional methods in terms of deployment cost and scalability?
q025_debateC,8B,heterogeneo,DLB and PNM Synthesis,352.528,0.0,0.0,0.0,164014,11340,32.17,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency for broadband satellite links?
q026_debateC,8B,heterogeneo,DLB,316.823,0.0,0.0,0.0,165826,9686,30.57,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to broadside beams?
q027_debateC,8B,heterogeneo,DLB,319.302,0.0,0.0,0.0,158144,9449,29.59,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 modes for multi-beam satellite systems?
q028_debateC,8B,heterogeneo,DLB,307.942,0.0,0.0,0.0,148428,9334,30.31,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional designs?
q029_debateC,8B,heterogeneo,Balanced Design,346.32,0.0,0.0,0.0,250519,10594,30.59,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna design?
q030_debateC,8B,heterogeneo,DLB and PNM,449.993,0.0,0.0,0.0,275080,12648,28.11,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
q031_debateC,8B,heterogeneo,DLB,244.101,0.0,0.0,0.0,80207,6861,28.11,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during element failures?
q032_debateC,8B,heterogeneo,DLB or PNM,319.566,0.0,0.0,0.0,106151,9496,29.72,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in defocused systems?
q033_debateC,8B,heterogeneo,DLB and PNM,201.789,0.0,0.0,0.0,56037,5624,27.87,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substation monitoring?
q034_debateC,8B,heterogeneo,Both DLB and PNM,241.636,0.0,0.0,0.0,89564,7026,29.08,What antenna design considerations minimize signal attenuation in high-noise power line environments for reliable PLC integration?
