ID,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
1,70B,homogeneo,Both,701.071,37.183,182.034,325.033,25075,1681,5.18,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,70B,homogeneo,Both,563.257,1.928,158.814,272.969,22066,1436,5.27,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,70B,homogeneo,Both,585.978,1.978,178.207,265.209,24477,1388,5.26,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,70B,homogeneo,Both,598.602,1.988,166.874,288.706,23461,1519,5.28,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,70B,homogeneo,Both,618.021,1.998,195.755,277.640,27092,1454,5.26,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,70B,homogeneo,Both,739.247,2.016,283.390,281.256,38569,1463,5.21,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,70B,homogeneo,PNM,638.920,37.409,254.475,190.414,33941,998,5.26,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,70B,homogeneo,PNM,420.182,1.958,131.378,182.807,17632,965,5.30,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,70B,homogeneo,PNM,604.939,1.956,249.872,196.775,33543,1033,5.27,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,70B,homogeneo,PNM,484.646,2.003,140.355,220.170,19424,1161,5.29,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,70B,homogeneo,None,431.245,1.940,141.964,176.353,19226,930,5.29,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,70B,homogeneo,PNM,483.499,36.240,141.958,192.743,19242,1016,5.28,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,70B,homogeneo,PNM,487.858,1.980,153.019,202.930,20605,1065,5.26,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,70B,homogeneo,PNM,507.086,2.041,161.448,206.965,21490,1080,5.25,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,70B,homogeneo,PNM,436.808,1.953,144.542,181.402,19425,960,5.31,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,70B,homogeneo,PNM,485.143,36.930,138.341,201.080,18177,1040,5.21,What antenna design considerations optimize ground station visibility during short service windows i
17,70B,homogeneo,PNM,494.520,43.509,132.128,206.214,17932,1088,5.29,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,70B,homogeneo,PNM,458.149,2.004,160.295,178.872,21233,938,5.26,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,70B,homogeneo,PNM,449.987,1.911,139.620,194.926,18973,1027,5.29,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,70B,homogeneo,PNM,454.822,1.970,138.667,200.188,18947,1057,5.30,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,70B,homogeneo,PNM,445.386,1.968,142.433,189.924,19339,999,5.28,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,70B,homogeneo,PNM,422.209,1.969,132.088,184.590,17673,974,5.30,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,70B,homogeneo,PNM,451.999,1.961,137.808,200.275,18865,1055,5.29,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,70B,homogeneo,PNM,432.603,1.953,138.021,184.894,18639,977,5.31,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,70B,homogeneo,PNM,445.601,1.984,139.553,197.154,19032,1039,5.29,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,70B,homogeneo,PNM,453.766,1.908,151.241,187.104,20160,980,5.25,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,70B,homogeneo,PNM,476.886,2.048,164.924,191.497,22096,1000,5.26,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,70B,homogeneo,PNM,464.715,1.928,155.217,191.724,20697,1003,5.25,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,70B,homogeneo,PNM,445.520,1.979,153.437,182.005,20373,952,5.25,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,70B,homogeneo,PNM,554.969,1.989,214.859,190.727,28990,999,5.26,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,70B,homogeneo,PNM,518.089,37.373,156.442,203.407,21046,1059,5.22,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,70B,homogeneo,PNM,464.974,1.941,152.853,191.060,20349,1002,5.24,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,70B,homogeneo,PNM,441.666,1.945,132.412,195.888,17898,1034,5.29,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,70B,homogeneo,PNM,460.246,1.949,139.781,202.689,19161,1070,5.29,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,70B,homogeneo,PNM,419.241,1.909,135.815,175.887,18203,928,5.30,How can frequency planning address interference between satellite uplinks and broadband power line c
36,70B,homogeneo,PNM,490.876,1.987,156.861,205.768,20992,1072,5.23,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,70B,homogeneo,PNM,476.006,1.983,150.555,203.620,20389,1069,5.26,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,70B,homogeneo,PNM,434.946,1.943,130.618,188.617,17489,996,5.29,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,70B,homogeneo,PNM,512.657,2.043,149.788,226.911,20423,1186,5.24,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,70B,homogeneo,PNM,463.920,1.963,158.278,185.332,21158,963,5.24,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
