ID,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
1,8B,heterogeneo,Both,112.414,23.680,32.426,39.280,28878,2302,58.14,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,8B,heterogeneo,Both,93.462,1.313,32.004,42.946,28329,2457,57.36,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,8B,heterogeneo,Both,109.346,1.348,38.553,48.749,33226,2800,57.64,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,8B,heterogeneo,Both,94.845,1.376,32.506,42.789,28349,2515,57.21,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,8B,heterogeneo,Both,100.571,1.336,38.441,43.465,33442,2470,56.84,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,8B,heterogeneo,Both,112.960,1.344,54.120,39.758,44267,2272,57.98,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,8B,heterogeneo,Both,114.429,1.317,54.879,40.088,44780,2301,58.17,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,8B,heterogeneo,Both,126.715,23.833,32.965,49.968,29534,2817,57.65,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,8B,heterogeneo,Both,150.532,1.367,62.632,61.174,50350,3392,56.03,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,8B,heterogeneo,Both,94.408,1.323,32.262,42.978,28577,2483,57.55,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,8B,heterogeneo,Both,91.541,1.324,31.321,41.293,28028,2409,57.70,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,8B,heterogeneo,Both,122.029,1.321,35.102,60.761,30770,3487,57.16,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,8B,heterogeneo,Both,96.335,1.318,35.051,42.702,30755,2415,57.46,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,8B,heterogeneo,Both,120.949,1.380,41.222,56.048,35392,3168,56.12,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,8B,heterogeneo,Both,89.449,1.332,32.133,39.839,28621,2273,57.70,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,8B,heterogeneo,Both,99.271,1.334,33.164,45.607,29579,2641,57.64,What antenna design considerations optimize ground station visibility during short service windows i
17,8B,heterogeneo,Both,97.575,1.364,32.173,45.947,28686,2594,57.26,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,8B,heterogeneo,Both,99.109,1.329,37.910,41.751,32808,2451,57.33,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,8B,heterogeneo,Both,90.004,1.363,31.097,40.453,27695,2364,57.44,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,8B,heterogeneo,Both,82.179,1.411,29.262,37.154,26669,2103,56.34,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,8B,heterogeneo,PNM,118.206,21.531,31.377,40.758,26811,2255,58.31,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,8B,heterogeneo,PNM,76.809,1.345,26.445,30.166,23294,1720,57.46,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,8B,heterogeneo,PNM,93.480,1.485,30.272,38.039,26238,2141,56.92,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,8B,heterogeneo,PNM,85.978,1.482,28.117,33.161,24666,1880,57.60,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
