ID,Rep,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
1,1,8B,homogeneo,DLB,129.408,1.954,39.728,38.624,49.100,33946,2145,57.39,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,1,8B,homogeneo,PNM,120.974,2.005,34.004,34.075,50.887,29785,1893,56.96,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,1,8B,homogeneo,DLB,120.961,2.016,34.529,35.897,48.516,30440,2009,56.10,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,1,8B,homogeneo,DLB,129.116,2.050,39.365,35.762,51.936,33853,1992,57.43,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,1,8B,homogeneo,PNM,135.070,2.041,42.285,38.569,52.178,35944,2146,55.73,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,1,8B,homogeneo,DLB,174.128,1.998,54.788,51.480,65.861,45101,2803,54.93,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,1,8B,homogeneo,PNM,229.282,1.993,64.799,79.292,83.199,52764,4311,54.64,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,1,8B,homogeneo,DLB,192.912,2.013,49.034,68.536,73.328,42746,3750,54.95,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,1,8B,homogeneo,DLB,148.504,1.983,52.313,38.274,55.936,42789,2111,56.40,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,1,8B,homogeneo,DLB,135.490,2.026,38.917,43.432,51.114,33318,2417,56.61,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,1,8B,homogeneo,PNM,883.001,2.032,86.330,570.795,223.845,40102,2414,4.55,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,1,8B,homogeneo,DLB,802.135,2.048,86.463,499.921,213.700,40152,2124,4.55,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,1,8B,homogeneo,DLB,932.719,2.041,83.749,617.320,229.611,37355,2686,4.60,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,1,8B,homogeneo,PNM,774.023,2.011,71.602,494.786,205.624,32793,2227,5.08,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,1,8B,homogeneo,DLB,1083.693,2.046,81.154,714.810,285.683,39318,3054,4.48,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,1,8B,homogeneo,DLB,568.692,2.033,63.682,368.606,134.369,30221,1778,5.23,What antenna design considerations optimize ground station visibility during short service windows i
17,1,8B,homogeneo,DLB,1506.085,2.085,104.200,1031.735,368.063,49020,3965,4.11,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,1,8B,homogeneo,DLB,794.077,2.412,75.653,493.878,222.129,34376,1963,4.55,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,1,8B,homogeneo,PNM,638.454,2.024,70.046,397.555,168.830,32878,1843,5.07,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,1,8B,homogeneo,PNM,828.608,2.083,78.978,522.390,225.157,33493,2378,4.86,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,1,8B,homogeneo,DLB,890.592,2.048,77.442,526.721,284.382,33849,2382,4.87,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,1,8B,homogeneo,PNM,847.203,1.991,73.263,521.601,250.347,33655,2407,4.86,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,1,8B,homogeneo,PNM,757.065,2.004,73.804,505.796,175.455,33535,2379,4.87,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,1,8B,homogeneo,DLB,663.387,2.110,69.347,421.924,170.006,32576,1991,5.01,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,1,8B,homogeneo,PNM,957.234,2.278,73.518,744.217,137.216,37037,3134,4.57,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,1,8B,homogeneo,DLB,962.285,2.411,79.951,705.992,173.927,39661,2783,4.61,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,1,8B,homogeneo,DLB,840.012,3.172,75.132,533.098,228.612,35561,2265,4.50,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,1,8B,homogeneo,PNM,1028.160,1.993,87.528,683.197,255.446,41142,2759,4.65,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,1,8B,homogeneo,PNM,885.620,2.058,79.907,582.370,221.290,32771,2643,5.07,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,1,8B,homogeneo,PNM,579.704,1.974,68.694,342.508,166.529,31154,1661,5.23,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,1,8B,homogeneo,DLB,140.963,1.932,38.666,43.417,56.947,32467,2104,50.56,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,1,8B,homogeneo,DLB,123.205,1.910,34.716,35.784,50.790,29509,1725,52.26,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,1,8B,homogeneo,PNM,127.927,1.967,37.023,38.207,50.731,31629,1864,50.07,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,1,8B,homogeneo,DLB,161.426,1.959,45.431,50.377,63.660,38092,2436,48.82,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,1,8B,homogeneo,DLB,175.204,1.921,40.641,57.941,74.699,34936,2809,49.12,How can frequency planning address interference between satellite uplinks and broadband power line c
36,1,8B,homogeneo,DLB,159.848,1.955,48.648,45.253,63.995,39618,2152,52.39,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,1,8B,homogeneo,PNM,137.286,1.937,40.258,40.420,54.671,33783,1942,50.08,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,1,8B,homogeneo,PNM,140.950,1.984,35.419,43.177,60.370,30660,2124,49.43,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,1,8B,homogeneo,DLB,247.916,1.938,62.001,76.063,107.911,50359,3561,47.46,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,1,8B,homogeneo,PNM,133.833,1.945,38.752,41.367,51.768,32657,1963,50.12,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,1,8B,homogeneo,PNM,147.220,1.935,42.254,45.976,57.050,35526,2223,49.05,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,1,8B,homogeneo,PNM,150.994,1.899,41.386,52.728,54.982,35288,2538,48.80,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,1,8B,homogeneo,PNM,152.374,1.934,41.288,46.766,62.387,35059,2267,49.00,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,1,8B,homogeneo,DLB,146.052,1.941,39.449,45.670,58.996,33235,2211,49.30,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,1,8B,homogeneo,PNM,153.157,1.936,39.062,51.408,60.746,33671,2475,49.05,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
46,1,8B,homogeneo,PNM,118.104,1.929,32.772,33.985,49.417,28388,1640,50.66,What beam management strategies are needed to mitigate efficiency fluctuations (>3 dB gain variance)
47,1,8B,homogeneo,PNM,241.099,1.938,56.860,82.127,100.171,46583,3900,47.98,How can satellite link budgets be optimized for high throughput and low latency in global aeronautic
48,1,8B,homogeneo,DLB,141.190,1.955,31.055,46.375,61.805,27092,2251,49.52,What antenna designs balance aerodynamic constraints with MIMO requirements for high-speed aircraft 
49,1,8B,homogeneo,PNM,151.855,1.937,40.089,49.845,59.987,34213,2393,49.04,How does L-DACS integration impact spectrum sharing between A2G and satellite links in congested air
50,1,8B,homogeneo,PNM,156.429,1.938,38.793,53.581,62.118,33516,2593,48.93,What beamforming strategies ensure consistent LOS connectivity for A2A links in dynamically changing
