ID,Size,Mode,Model,Total_S,Load_S,Prompt_S,Gen_S,Tokens_In,Tokens_Out,TPS,Topic
1,8B,single,llama3.1:8b,20.356,7.393,1.561,4.318,1346,182,42.15,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,8B,single,llama3.1:8b,11.268,0.133,1.163,3.572,1065,164,45.91,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,8B,single,llama3.1:8b,12.371,0.144,1.488,3.620,1334,186,51.38,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,8B,single,llama3.1:8b,10.504,0.162,1.473,2.623,1213,154,58.71,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,8B,single,llama3.1:8b,11.451,0.139,1.952,3.508,1688,163,46.46,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,8B,single,llama3.1:8b,14.456,0.132,3.641,3.475,2970,183,52.67,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,8B,single,llama3.1:8b,15.361,0.142,3.415,3.727,2677,202,54.20,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,8B,single,llama3.1:8b,10.431,0.135,1.217,2.644,1083,157,59.38,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,8B,single,llama3.1:8b,13.220,0.143,3.629,3.020,2940,161,53.31,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,8B,single,llama3.1:8b,10.708,0.139,1.357,2.677,1093,159,59.40,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,8B,single,llama3.1:8b,9.625,0.137,1.380,2.421,1239,139,57.40,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,8B,single,llama3.1:8b,12.844,0.152,2.406,2.919,2043,174,59.61,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,8B,single,llama3.1:8b,10.920,0.144,1.473,2.767,1315,158,57.10,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,8B,single,llama3.1:8b,10.676,0.153,1.610,2.679,1400,151,56.36,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,8B,single,llama3.1:8b,11.432,0.152,1.478,2.959,1311,167,56.44,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,8B,single,llama3.1:8b,10.128,0.145,1.306,2.608,1167,148,56.75,What antenna design considerations optimize ground station visibility during short service windows i
17,8B,single,llama3.1:8b,10.052,0.148,1.148,2.432,1025,149,61.26,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,8B,single,llama3.1:8b,11.158,0.145,1.727,2.640,1451,156,59.10,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
