ID,Rep,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
1,2,2B,homogeneo,PNM,62.115,1.976,12.419,19.724,27.999,32587,1551,83.44,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,2,2B,homogeneo,PNM,59.361,1.989,11.090,19.159,27.126,29680,1537,84.61,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,2,2B,homogeneo,PNM,55.762,1.937,10.925,18.062,24.836,29307,1482,85.21,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,2,2B,homogeneo,PNM,60.162,1.942,12.411,18.507,27.306,32463,1478,85.22,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,2,2B,homogeneo,PNM,59.055,2.115,13.456,15.366,28.120,34910,1530,100.50,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,2,2B,homogeneo,PNM,67.137,2.148,15.855,13.757,35.376,39925,1504,109.97,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,2,2B,homogeneo,PNM,67.096,2.256,15.475,15.584,33.776,38711,1473,104.97,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,2,2B,homogeneo,DLB,61.257,1.945,10.847,19.875,28.589,29431,1600,84.54,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,2,2B,homogeneo,DLB,63.025,2.140,16.791,14.894,29.199,41160,1423,99.05,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,2,2B,homogeneo,DLB,63.906,2.165,11.946,16.602,33.195,31686,1599,102.56,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,2,2B,homogeneo,DLB,68.620,2.544,15.150,17.587,33.341,37780,1554,96.82,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,2,2B,homogeneo,PNM,68.709,1.935,15.621,19.741,31.413,38493,1535,83.58,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,2,2B,homogeneo,PNM,60.661,1.965,11.931,18.687,28.081,31178,1478,84.91,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,2,2B,homogeneo,DLB,54.802,1.947,11.877,17.447,23.532,30937,1426,84.94,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,2,2B,homogeneo,DLB,61.392,1.976,11.909,18.792,28.718,31155,1490,84.49,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,2,2B,homogeneo,PNM,57.947,1.993,11.020,18.234,26.696,29586,1449,83.80,What antenna design considerations optimize ground station visibility during short service windows i
17,2,2B,homogeneo,PNM,59.687,1.925,15.319,17.212,25.234,37710,1374,84.33,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,2,2B,homogeneo,DLB,57.035,1.965,12.622,17.304,25.148,32661,1379,83.88,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,2,2B,homogeneo,PNM,57.468,1.948,12.551,16.925,26.044,32366,1345,84.46,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,2,2B,homogeneo,PNM,62.572,1.972,11.265,20.150,29.184,29894,1594,84.29,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,2,2B,homogeneo,PNM,56.246,1.960,11.886,18.202,24.197,31233,1507,85.68,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,2,2B,homogeneo,DLB,51.264,1.957,11.248,16.805,21.254,29767,1366,83.67,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,2,2B,homogeneo,DLB,51.967,1.929,11.221,17.611,21.201,30127,1414,83.03,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,2,2B,homogeneo,PNM,57.045,1.981,11.673,18.465,24.928,30826,1479,83.59,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,2,2B,homogeneo,DLB,60.655,1.926,11.629,18.905,28.198,30439,1464,83.74,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,2,2B,homogeneo,PNM,62.056,1.951,14.558,18.203,27.343,36728,1448,84.70,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,2,2B,homogeneo,DLB,57.331,1.968,12.922,18.388,24.053,33411,1521,85.06,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,2,2B,homogeneo,PNM,57.689,1.940,13.763,17.483,24.506,34884,1414,84.53,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,2,2B,homogeneo,Error,39.969,1.810,9.622,15.432,13.108,26029,1325,79.66,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,2,2B,homogeneo,PNM,56.164,1.948,11.890,17.694,24.629,31159,1419,83.93,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,2,2B,homogeneo,DLB,59.637,1.961,12.156,19.622,25.900,31981,1567,83.38,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,2,2B,homogeneo,PNM,59.124,1.949,11.339,18.969,26.868,30212,1543,84.82,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,2,2B,homogeneo,PNM,63.326,1.965,11.593,20.420,29.351,30753,1625,84.34,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,2,2B,homogeneo,PNM,55.981,1.969,12.946,16.015,25.052,32827,1272,84.50,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,2,2B,homogeneo,PNM,53.442,1.935,10.877,17.695,22.932,29350,1444,83.56,How can frequency planning address interference between satellite uplinks and broadband power line c
36,2,2B,homogeneo,PNM,66.580,1.954,15.447,19.183,29.998,38052,1511,83.58,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,2,2B,homogeneo,DLB,64.543,1.958,12.462,19.671,30.450,32488,1525,83.38,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,2,2B,homogeneo,PNM,59.658,1.967,10.274,18.952,28.460,27844,1517,85.02,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,2,2B,homogeneo,DLB,68.483,1.934,16.080,20.017,30.453,39556,1584,84.32,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,2,2B,homogeneo,DLB,60.463,1.946,12.504,19.395,26.621,32894,1549,83.90,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,2,2B,homogeneo,DLB,54.750,1.952,12.631,16.618,23.549,32348,1347,84.06,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,2,2B,homogeneo,DLB,54.893,2.007,11.318,17.495,24.074,30082,1398,84.02,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,2,2B,homogeneo,Error,44.292,1.807,10.965,16.627,14.892,29119,1413,78.92,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,2,2B,homogeneo,DLB,63.435,1.945,12.045,19.348,30.098,31854,1529,84.16,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,2,2B,homogeneo,PNM,55.073,1.910,11.061,17.838,24.263,29332,1450,85.22,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
46,2,2B,homogeneo,DLB,52.040,1.938,10.339,17.457,22.302,27877,1441,85.28,What beam management strategies are needed to mitigate efficiency fluctuations (>3 dB gain variance)
47,2,2B,homogeneo,PNM,68.333,1.904,14.394,20.518,31.521,36327,1617,83.92,How can satellite link budgets be optimized for high throughput and low latency in global aeronautic
48,2,2B,homogeneo,PNM,55.759,2.012,9.205,18.740,25.799,25396,1509,85.08,What antenna designs balance aerodynamic constraints with MIMO requirements for high-speed aircraft 
49,2,2B,homogeneo,PNM,58.608,1.955,11.547,18.470,26.637,30540,1493,84.90,How does L-DACS integration impact spectrum sharing between A2G and satellite links in congested air
50,2,2B,homogeneo,PNM,63.443,1.930,10.706,21.801,29.004,29256,1726,83.44,What beamforming strategies ensure consistent LOS connectivity for A2A links in dynamically changing
