ID,Rep,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
1,3,8B,homogeneo,PNM,165.713,1.941,43.976,57.442,62.357,36857,2763,49.33,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,3,8B,homogeneo,DLB,175.244,1.996,40.640,57.176,75.432,34931,2740,48.24,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,3,8B,homogeneo,DLB,155.364,1.961,38.872,57.482,57.048,32915,2801,49.35,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,3,8B,homogeneo,PNM,163.950,2.204,42.932,51.308,67.506,36198,2473,48.82,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,3,8B,homogeneo,PNM,158.468,1.960,43.589,48.989,63.926,36450,2346,48.59,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,3,8B,homogeneo,DLB,152.646,1.943,48.714,40.220,61.771,39411,1914,48.99,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,3,8B,homogeneo,PNM,211.274,1.932,55.829,71.522,81.993,44959,3410,48.53,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,3,8B,homogeneo,DLB,184.860,1.987,41.429,61.306,80.138,35569,2974,49.01,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,3,8B,homogeneo,DLB,184.456,2.034,56.103,57.017,69.304,45029,2711,48.26,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,3,8B,homogeneo,PNM,124.943,1.971,36.098,36.329,50.543,30612,1768,51.36,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,3,8B,homogeneo,PNM,138.726,1.949,46.849,39.301,50.628,38363,1892,48.87,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,3,8B,homogeneo,DLB,218.203,1.927,57.113,64.693,94.464,46310,3088,48.27,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,3,8B,homogeneo,PNM,161.374,1.972,41.486,50.104,67.810,35270,2412,49.21,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,3,8B,homogeneo,DLB,168.050,1.923,41.896,53.687,70.540,35249,2624,49.36,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,3,8B,homogeneo,PNM,207.585,1.992,48.430,65.981,91.180,41108,3178,48.66,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,3,8B,homogeneo,PNM,168.676,1.931,41.428,51.971,73.344,35261,2540,49.28,What antenna design considerations optimize ground station visibility during short service windows i
17,3,8B,homogeneo,DLB,213.404,1.934,56.551,64.349,90.570,46114,3086,48.36,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,3,8B,homogeneo,DLB,152.345,1.957,43.537,46.321,60.532,36612,2262,49.05,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,3,8B,homogeneo,DLB,310.024,1.981,60.938,105.345,141.762,49480,5002,48.08,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,3,8B,homogeneo,PNM,174.575,1.936,44.086,60.266,68.290,37711,2909,48.51,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,3,8B,homogeneo,DLB,191.615,1.961,42.806,60.564,86.284,35891,2939,50.58,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,3,8B,homogeneo,PNM,148.712,1.973,39.714,45.934,61.092,33696,2248,49.29,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,3,8B,homogeneo,DLB,162.755,2.072,37.411,50.087,73.186,31545,2435,50.75,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,3,8B,homogeneo,DLB,207.491,1.974,48.686,72.515,84.313,41111,3428,47.62,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,3,8B,homogeneo,DLB,157.696,2.001,40.940,51.905,62.846,34733,2444,47.40,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,3,8B,homogeneo,DLB,145.708,1.975,46.275,41.827,55.631,38102,1978,47.96,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,3,8B,homogeneo,PNM,166.801,2.079,45.103,54.782,64.839,37775,2547,46.94,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,3,8B,homogeneo,PNM,162.625,1.966,49.259,52.237,59.160,40458,2447,47.19,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,3,8B,homogeneo,DLB,152.771,2.187,38.138,48.081,64.364,32538,2252,48.30,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,3,8B,homogeneo,DLB,167.338,2.008,44.451,54.274,66.605,37393,2572,47.78,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,3,8B,homogeneo,DLB,200.579,2.222,45.825,64.785,87.743,38365,3074,48.14,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,3,8B,homogeneo,PNM,192.213,2.085,44.351,60.228,85.544,37680,2868,50.73,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,3,8B,homogeneo,DLB,164.635,2.143,39.690,51.710,71.091,33488,2457,48.79,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,3,8B,homogeneo,DLB,165.849,2.046,46.077,53.850,63.875,38432,2548,48.42,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,3,8B,homogeneo,DLB,154.875,2.443,36.818,51.220,64.395,31439,2491,51.69,How can frequency planning address interference between satellite uplinks and broadband power line c
36,3,8B,homogeneo,DLB,218.478,2.208,58.400,71.260,86.609,47232,3409,49.81,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,3,8B,homogeneo,DLB,142.529,2.060,40.625,42.723,57.121,34061,2074,51.03,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,3,8B,homogeneo,PNM,144.114,2.067,36.182,46.998,58.870,31414,2303,49.56,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,3,8B,homogeneo,DLB,169.763,2.144,51.831,49.807,65.980,42247,2372,48.44,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,3,8B,homogeneo,DLB,180.242,2.251,45.185,58.940,73.866,38264,2819,48.44,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,3,8B,homogeneo,DLB,178.952,2.178,45.397,55.173,76.202,37851,2662,50.14,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,3,8B,homogeneo,PNM,144.738,1.944,40.515,49.470,52.807,34508,2379,48.92,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,3,8B,homogeneo,DLB,159.031,1.925,42.859,50.435,63.814,36202,2421,48.67,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,3,8B,homogeneo,PNM,166.763,1.948,43.207,53.624,67.987,36701,2571,48.69,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,3,8B,homogeneo,PNM,152.088,1.937,39.141,52.423,58.586,33786,2503,48.76,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
46,3,8B,homogeneo,PNM,159.365,1.972,39.431,54.735,63.228,33980,2639,49.00,What beam management strategies are needed to mitigate efficiency fluctuations (>3 dB gain variance)
47,3,8B,homogeneo,PNM,166.184,1.926,47.571,49.016,67.669,39548,2331,48.53,How can satellite link budgets be optimized for high throughput and low latency in global aeronautic
48,3,8B,homogeneo,PNM,126.770,1.959,31.943,43.877,48.988,28051,2122,49.24,What antenna designs balance aerodynamic constraints with MIMO requirements for high-speed aircraft 
49,3,8B,homogeneo,DLB,165.880,1.932,42.221,55.501,66.230,35804,2651,48.69,How does L-DACS integration impact spectrum sharing between A2G and satellite links in congested air
50,3,8B,homogeneo,DLB,128.362,1.950,33.736,42.449,50.227,29066,2045,49.60,What beamforming strategies ensure consistent LOS connectivity for A2A links in dynamically changing
