ID,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
q001_debateAG,2B,heterogeneo,Unknown,142.533,0.0,0.0,0.0,67108,6737,47.27,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in Ka-band satellite links?
q002_debateAG,2B,heterogeneo,DLB,162.918,0.0,0.0,0.0,72342,7997,49.09,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink frequency planning?
q003_debateAG,2B,heterogeneo,DLB,164.811,0.0,0.0,0.0,76301,8245,50.03,What trade-offs exist between the filter's compact size and integration with phased array antennas for satellite coverage optimization?
q004_debateAG,2B,heterogeneo,DLB,130.658,0.0,0.0,0.0,73640,5285,40.45,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver frontends?
q005_debateAG,2B,heterogeneo,DLB,161.481,0.0,0.0,0.0,81542,7670,47.5,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload configurations?
q006_debateAG,2B,heterogeneo,PNM,195.821,0.0,0.0,0.0,91734,9756,49.82,How does the hierarchical classification framework impact satellite link budget margins when prioritizing QoS-sensitive traffic?
q007_debateAG,2B,heterogeneo,DLB,155.795,0.0,0.0,0.0,82098,6746,43.3,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latency-sensitive traffic classes?
q008_debateAG,2B,heterogeneo,PNM,163.234,0.0,0.0,0.0,70883,8208,50.28,How does antenna design influence the accuracy of encrypted traffic classification systems in heterogeneous satellite networks?
q009_debateAG,2B,heterogeneo,DLB,178.597,0.0,0.0,0.0,90569,8353,46.77,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands from ML traffic classification?
q010_debateAG,2B,heterogeneo,PNM,179.378,0.0,0.0,0.0,76486,9166,51.1,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic in multi-beam satellite systems?
q011_debateAG,2B,heterogeneo,PNM,183.661,0.0,0.0,0.0,87329,8835,48.1,Does the proposed ML framework's feature extraction for encrypted flows require additional power or bandwidth margins in link budgets?
q012_debateAG,2B,heterogeneo,PNM,191.633,0.0,0.0,0.0,87276,9526,49.71,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classification for satellite QoS management?
q013_debateAG,2B,heterogeneo,DLB_Expert,181.415,0.0,0.0,0.0,81538,9393,51.78,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range and noise performance trade-offs in different satellite orbital configurations?
