ID,Rep,Size,Mode,Model,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,TPS,Topic
1,3,8B,single,llama3.1:8b,10.815,0.140,2.784,3.028,4.863,2129,123,40.63,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,3,8B,single,llama3.1:8b,11.304,0.157,2.220,3.146,5.781,1866,139,44.19,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,3,8B,single,llama3.1:8b,11.553,0.135,2.538,3.537,5.343,2007,139,39.29,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,3,8B,single,llama3.1:8b,10.541,0.151,2.567,3.107,4.716,2146,122,39.27,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,3,8B,single,llama3.1:8b,12.466,0.139,3.024,3.559,5.745,2485,145,40.74,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,3,8B,single,llama3.1:8b,12.232,0.153,3.608,3.630,4.841,2723,129,35.54,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,3,8B,single,llama3.1:8b,11.514,0.145,3.419,3.185,4.766,2729,122,38.31,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,3,8B,single,llama3.1:8b,13.084,0.156,2.215,4.313,6.399,1840,165,38.26,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,3,8B,single,llama3.1:8b,12.731,0.142,3.939,3.201,5.449,2992,134,41.86,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,3,8B,single,llama3.1:8b,11.002,0.147,2.386,3.503,4.967,1989,132,37.69,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,3,8B,single,llama3.1:8b,10.450,0.160,3.304,2.747,4.239,2662,109,39.69,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,3,8B,single,llama3.1:8b,13.667,0.142,3.644,3.556,6.325,2809,153,43.02,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,3,8B,single,llama3.1:8b,12.293,0.138,2.469,4.015,5.670,2057,151,37.61,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,3,8B,single,llama3.1:8b,13.156,0.140,2.452,4.225,6.339,2035,165,39.05,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,3,8B,single,llama3.1:8b,10.744,0.142,2.609,3.195,4.798,2065,125,39.13,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,3,8B,single,llama3.1:8b,11.500,0.136,2.155,3.809,5.400,1806,144,37.81,What antenna design considerations optimize ground station visibility during short service windows i
