ID,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
1,2B,heterogeneo,Error,95.691,10.734,12.278,59.364,36395,6696,111.75,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,2B,heterogeneo,Error,62.392,2.911,9.881,37.731,29332,4692,118.47,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,2B,heterogeneo,Error,96.072,1.756,10.284,60.464,29885,8233,118.30,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,2B,heterogeneo,Error,69.553,1.710,9.261,45.064,27578,5560,117.03,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,2B,heterogeneo,Both,78.418,1.756,14.815,50.308,42935,5795,112.45,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
1,2B,heterogeneo,Both,112.061,1.727,14.477,57.193,39641,6665,111.75,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,2B,heterogeneo,Error,146.768,1.751,9.325,45.340,28201,5383,117.51,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,2B,heterogeneo,Both,81.247,1.723,13.115,45.464,36934,5756,119.46,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,2B,heterogeneo,Both,102.048,1.741,9.277,37.921,28167,4702,118.03,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
1,2B,heterogeneo,Error,165.407,1.740,13.355,61.075,37777,6826,111.52,How does interleaved array element spacing affect coverage patterns and grating lobe suppression in 
2,2B,heterogeneo,Both,130.765,1.729,10.099,65.722,29430,8684,116.92,How does the LPF's 25 GHz stopband impact interference mitigation in multi-beam satellite downlink f
3,2B,heterogeneo,Both,105.944,1.736,11.671,43.375,33790,5175,115.38,What trade-offs exist between the filter's compact size and integration with phased array antennas f
4,2B,heterogeneo,Error,146.989,1.738,9.123,48.308,26316,5520,113.31,How would the 0.25 dB passband loss affect link budget margins in low-noise satellite receiver front
5,2B,heterogeneo,Both,106.066,1.723,16.205,50.173,44727,6032,118.52,Can the filter's suppression of 19th harmonics improve transponder power efficiency in dense payload
6,2B,heterogeneo,Both,98.635,1.722,16.366,38.865,46264,4751,116.96,How does the hierarchical classification framework impact satellite link budget margins when priorit
7,2B,heterogeneo,Both,123.708,1.709,16.277,47.080,45177,6049,118.09,Can satellite orbital configurations optimize ML-based QoS by reducing propagation delays for latenc
8,2B,heterogeneo,Both,149.823,1.703,9.964,52.109,28632,6125,115.01,How does antenna design influence the accuracy of encrypted traffic classification systems in hetero
9,2B,heterogeneo,PNM,117.979,10.837,26.855,45.843,37237,4580,86.74,What payload transponder allocation strategies balance spectral efficiency with dynamic QoS demands 
10,2B,heterogeneo,PNM,142.641,1.713,22.823,85.397,32491,5996,75.21,How do interference mitigation techniques adapt when handling tunneled versus non-tunneled traffic i
11,2B,heterogeneo,Both,99.988,1.712,9.376,39.829,27566,4633,114.49,Does the proposed ML framework's feature extraction for encrypted flows require additional power or 
12,2B,heterogeneo,PNM,91.653,1.709,16.717,43.198,23900,4573,90.64,What beamhopping strategies optimize network efficiency when integrating hierarchical traffic classi
13,2B,heterogeneo,Both,109.573,1.708,13.461,55.166,38004,6837,116.17,How does the transceiver's variable gain distribution between RF and baseband impact dynamic range a
14,2B,heterogeneo,Both,133.598,1.744,13.523,59.505,37796,7351,115.68,What antenna aperture size trade-offs exist between LEO and GEO satellites when optimizing gain and 
15,2B,heterogeneo,PNM,123.453,1.763,20.510,68.277,29556,5076,76.44,How do distributed satellite constellations impact orbital configuration trade-offs between coverage
16,2B,heterogeneo,PNM,135.266,1.750,21.772,75.470,31307,5750,77.70,What antenna design considerations optimize ground station visibility during short service windows i
17,2B,heterogeneo,Both,95.563,1.723,10.035,41.631,29146,5516,119.12,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,2B,heterogeneo,Both,147.231,1.749,13.366,77.757,38206,9943,113.83,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,2B,heterogeneo,Both,109.389,1.713,10.726,44.768,30286,5781,121.78,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,2B,heterogeneo,Both,101.794,1.737,10.589,43.364,31599,5197,115.04,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,2B,heterogeneo,PNM,88.511,1.734,17.002,40.651,24352,4947,93.70,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,2B,heterogeneo,Both,106.451,1.720,10.341,44.916,30054,5679,116.45,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,2B,heterogeneo,Both,137.339,1.725,12.527,54.663,35332,6436,113.18,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,2B,heterogeneo,Both,83.362,1.751,11.546,42.605,33289,5059,112.61,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,2B,heterogeneo,Error,161.894,1.730,12.281,59.703,35284,6861,111.26,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,2B,heterogeneo,Error,147.648,1.722,10.132,46.854,30029,5423,113.23,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,2B,heterogeneo,Error,65.842,1.626,9.731,41.449,29729,5298,110.14,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,2B,heterogeneo,Error,76.728,1.596,11.005,53.275,32654,6174,111.22,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
25,2B,heterogeneo,Both,128.079,14.485,12.729,48.995,37141,5695,118.14,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,2B,heterogeneo,PNM,126.876,1.755,18.755,63.543,27104,5701,85.39,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,2B,heterogeneo,PNM,106.734,1.738,21.012,51.420,29041,4933,86.53,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,2B,heterogeneo,Both,113.199,1.756,12.103,44.747,34003,5482,120.26,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,2B,heterogeneo,Both,95.174,1.765,10.390,43.538,29991,5637,122.82,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,2B,heterogeneo,Both,110.740,1.715,13.870,49.262,39625,6111,118.32,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,2B,heterogeneo,PNM,115.061,10.594,17.248,56.955,27095,5171,89.17,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,2B,heterogeneo,PNM,88.581,1.756,16.575,42.865,24058,4029,85.63,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,2B,heterogeneo,PNM,107.152,1.728,17.007,57.368,25351,4760,80.49,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,2B,heterogeneo,PNM,122.526,1.910,19.730,65.579,29499,6240,84.58,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,2B,heterogeneo,PNM,96.603,1.702,16.244,45.229,23787,4626,88.44,How can frequency planning address interference between satellite uplinks and broadband power line c
36,2B,heterogeneo,PNM,104.606,1.753,20.209,52.578,29201,4633,82.64,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,2B,heterogeneo,PNM,86.264,1.708,17.028,38.763,24126,4080,90.66,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,2B,heterogeneo,PNM,115.528,1.749,17.567,60.570,26457,5690,85.64,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,2B,heterogeneo,PNM,119.582,1.769,18.904,57.333,28236,4532,78.19,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,2B,heterogeneo,PNM,123.391,1.728,21.149,65.343,30488,5288,80.04,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,2B,heterogeneo,PNM,107.301,1.733,20.247,53.689,28558,5227,86.05,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,2B,heterogeneo,PNM,118.693,1.780,20.176,66.228,29187,4571,73.46,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,2B,heterogeneo,PNM,127.659,1.750,24.005,69.649,34107,4651,72.10,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,2B,heterogeneo,PNM,95.555,1.732,17.153,43.814,24559,4393,89.38,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,2B,heterogeneo,PNM,93.139,1.757,17.855,42.906,25776,4301,89.00,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
46,2B,heterogeneo,PNM,91.473,1.703,17.206,42.986,24641,4346,88.47,What beam management strategies are needed to mitigate efficiency fluctuations (>3 dB gain variance)
47,2B,heterogeneo,PNM,136.307,1.831,21.542,77.643,32150,5362,73.38,How can satellite link budgets be optimized for high throughput and low latency in global aeronautic
48,2B,heterogeneo,PNM,141.925,1.776,20.629,80.366,30546,6219,77.32,What antenna designs balance aerodynamic constraints with MIMO requirements for high-speed aircraft 
49,2B,heterogeneo,PNM,105.800,1.710,20.180,51.412,28530,4539,84.30,How does L-DACS integration impact spectrum sharing between A2G and satellite links in congested air
50,2B,heterogeneo,PNM,122.640,1.792,18.888,67.875,28629,5351,78.48,What beamforming strategies ensure consistent LOS connectivity for A2A links in dynamically changing
