Size,Mode,Q_ID,A_qcr,B_rcq,C_cqr,D_qrc,Range,StdDev
2B,heterogeneo,q001,6.1,5.2,7.4,3.1,4.3,1.81
2B,heterogeneo,q002,0.8,2.0,1.3,1.4,1.2,0.49
2B,heterogeneo,q003,2.7,6.1,3.2,3.8,3.4,1.5
2B,heterogeneo,q004,6.4,6.2,7.7,7.0,1.5,0.68
2B,heterogeneo,q005,4.5,3.1,4.1,3.0,1.5,0.74
2B,heterogeneo,q006,5.0,4.1,3.3,2.9,2.1,0.93
2B,heterogeneo,q007,5.4,4.6,5.7,7.1,2.5,1.04
2B,heterogeneo,q008,3.4,4.9,4.6,3.0,1.9,0.92
2B,heterogeneo,q009,6.5,5.0,5.9,3.8,2.7,1.17
2B,heterogeneo,q010,7.2,6.5,7.9,6.3,1.6,0.73
2B,homogeneo,q001,2.9,3.3,3.2,5.7,2.8,1.29
2B,homogeneo,q002,1.4,1.8,1.4,1.8,0.4,0.23
2B,homogeneo,q003,5.4,6.6,2.7,6.0,3.9,1.72
2B,homogeneo,q004,6.0,6.6,7.5,7.2,1.5,0.67
2B,homogeneo,q005,2.3,5.7,3.5,5.1,3.4,1.54
2B,homogeneo,q006,3.8,2.5,2.8,2.8,1.3,0.57
2B,homogeneo,q007,3.7,3.3,5.2,2.7,2.5,1.07
2B,homogeneo,q008,1.6,1.4,1.4,2.2,0.8,0.38
2B,homogeneo,q009,2.4,2.1,2.3,2.1,0.3,0.15
2B,homogeneo,q010,1.7,1.9,1.8,0.7,1.2,0.56
2B,individual,q001,3.0,3.4,2.5,2.1,1.3,0.57
2B,individual,q002,6.4,6.6,6.1,6.6,0.5,0.24
2B,individual,q003,6.6,6.6,7.1,7.2,0.6,0.32
2B,individual,q004,5.1,5.7,5.2,3.4,2.3,1.0
2B,individual,q005,7.8,8.2,8.2,7.6,0.6,0.3
2B,individual,q006,6.6,6.6,6.6,6.6,0.0,0.0
2B,individual,q007,7.8,8.0,7.9,6.9,1.1,0.51
2B,individual,q008,6.9,1.7,6.6,6.6,5.2,2.5
2B,individual,q009,5.7,3.2,4.1,4.9,2.5,1.07
2B,individual,q010,2.6,2.9,2.0,2.5,0.9,0.37
70B,heterogeneo,q001,5.6,6.1,6.3,5.7,0.7,0.33
70B,heterogeneo,q002,6.7,7.3,5.8,6.8,1.5,0.62
70B,heterogeneo,q003,6.6,5.4,6.1,6.2,1.2,0.5
70B,heterogeneo,q004,6.9,6.2,6.2,6.3,0.7,0.34
70B,heterogeneo,q005,7.6,7.6,8.1,7.2,0.9,0.37
70B,heterogeneo,q006,6.6,3.9,5.5,5.2,2.7,1.11
70B,heterogeneo,q007,6.2,6.8,7.9,6.2,1.7,0.8
70B,heterogeneo,q008,6.6,5.4,6.0,4.3,2.3,0.98
70B,heterogeneo,q009,6.3,4.4,4.8,5.4,1.9,0.83
70B,heterogeneo,q010,3.1,4.6,2.9,2.9,1.7,0.82
70B,homogeneo,q001,0.9,3.1,1.7,1.7,2.2,0.91
70B,homogeneo,q002,2.2,2.3,1.6,2.0,0.7,0.31
70B,homogeneo,q003,2.1,2.4,1.9,1.9,0.5,0.24
70B,homogeneo,q004,7.6,6.2,6.6,6.1,1.5,0.68
70B,homogeneo,q005,7.7,7.1,3.6,2.3,5.4,2.63
70B,homogeneo,q006,5.1,4.5,3.1,5.1,2.0,0.94
70B,homogeneo,q007,5.2,5.2,4.9,4.4,0.8,0.38
70B,homogeneo,q008,6.4,6.0,6.7,5.3,1.4,0.61
70B,homogeneo,q009,4.1,4.1,5.6,5.1,1.5,0.75
70B,homogeneo,q010,3.3,2.5,2.6,1.5,1.8,0.74
70B,individual,q001,5.6,5.9,6.0,4.6,1.4,0.64
70B,individual,q002,5.0,5.8,4.8,2.1,3.7,1.61
70B,individual,q003,4.4,3.7,2.3,4.4,2.1,0.99
70B,individual,q004,7.7,8.2,7.2,6.6,1.6,0.68
70B,individual,q005,7.7,8.5,7.9,7.1,1.4,0.58
70B,individual,q006,2.8,2.0,3.5,2.2,1.5,0.68
70B,individual,q007,7.9,6.6,8.0,7.1,1.4,0.67
70B,individual,q008,5.8,6.5,4.9,5.7,1.6,0.66
70B,individual,q009,4.5,4.9,4.9,5.2,0.7,0.29
70B,individual,q010,5.2,6.1,6.5,2.3,4.2,1.9
8B,heterogeneo,q001,1.9,3.9,4.1,1.4,2.7,1.37
8B,heterogeneo,q002,1.4,2.1,2.0,1.5,0.7,0.35
8B,heterogeneo,q003,1.6,1.7,0.6,0.8,1.1,0.56
8B,heterogeneo,q004,5.1,3.0,3.1,3.6,2.1,0.97
8B,heterogeneo,q005,3.1,6.6,3.3,2.6,4.0,1.82
8B,heterogeneo,q006,4.3,4.2,2.7,3.7,1.6,0.73
8B,heterogeneo,q007,8.4,6.4,6.6,6.6,2.0,0.94
8B,heterogeneo,q008,5.2,6.3,4.5,4.1,2.2,0.96
8B,heterogeneo,q009,4.1,6.4,5.4,6.2,2.3,1.04
8B,heterogeneo,q010,2.3,2.4,2.3,2.3,0.1,0.05
8B,homogeneo,q001,2.2,2.3,2.1,1.8,0.5,0.22
8B,homogeneo,q002,1.6,2.0,0.4,0.4,1.6,0.82
8B,homogeneo,q003,2.3,3.9,1.8,1.8,2.1,0.99
8B,homogeneo,q004,2.0,1.7,2.5,2.1,0.8,0.33
8B,homogeneo,q005,6.3,7.0,5.5,6.5,1.5,0.62
8B,homogeneo,q006,2.4,3.1,2.0,0.8,2.3,0.96
8B,homogeneo,q007,6.5,6.4,7.2,7.0,0.8,0.39
8B,homogeneo,q008,5.9,5.1,4.9,5.6,1.0,0.46
8B,homogeneo,q009,2.6,2.6,2.6,2.9,0.3,0.15
8B,homogeneo,q010,0.7,0.8,0.7,0.8,0.1,0.06
8B,individual,q001,3.0,5.5,5.0,3.7,2.5,1.15
8B,individual,q002,6.2,8.2,5.3,6.1,2.9,1.23
8B,individual,q003,1.7,1.9,1.7,1.6,0.3,0.13
8B,individual,q004,4.1,6.0,4.7,6.2,2.1,1.01
8B,individual,q005,5.7,7.9,3.8,4.7,4.1,1.76
8B,individual,q006,4.0,3.2,4.0,2.9,1.1,0.56
8B,individual,q007,6.4,6.8,3.7,3.7,3.1,1.68
8B,individual,q008,5.4,6.8,5.4,3.4,3.4,1.4
8B,individual,q009,3.8,5.4,3.5,4.2,1.9,0.83
8B,individual,q010,2.0,4.2,1.8,1.7,2.5,1.19
